T,Vgs,Vds,Id,Cgs,Cgd,Cds
350.0,1.0,2.0,7.118233967108386e-05,1.15e-13,0.0,5.091750772173155e-13
350.0,1.0,2.5,7.186678524484428e-05,1.15e-13,0.0,4.677071733467426e-13
350.0,1.0,3.0,7.25512308186047e-05,1.15e-13,0.0,4.3495883620084003e-13
350.0,1.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
350.0,1.5,0.5,0.002395559508161477,2.3e-13,1.15e-13,7.637626158259732e-13
350.0,1.5,1.0,0.00251328414684827,1.15e-13,0.0,6.416889479197479e-13
350.0,1.5,1.5,0.002537924187503645,1.15e-13,0.0,5.640760748177662e-13
350.0,1.5,2.0,0.0025625642281590206,1.15e-13,0.0,5.091750772173155e-13
350.0,1.5,2.5,0.0025872042688143957,1.15e-13,0.0,4.677071733467426e-13
350.0,1.5,3.0,0.002611844309469771,1.15e-13,0.0,4.3495883620084003e-13
350.0,2.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
350.0,2.0,0.5,0.005817787376963588,2.3e-13,1.15e-13,7.637626158259732e-13
350.0,2.0,1.0,0.008213346885125067,2.3e-13,1.15e-13,6.416889479197479e-13
350.0,2.0,1.5,0.008530245185776142,1.15e-13,0.0,5.640760748177662e-13
350.0,2.0,2.0,0.008613063100201154,1.15e-13,0.0,5.091750772173155e-13
350.0,2.0,2.5,0.008695881014626164,1.15e-13,0.0,4.677071733467426e-13
350.0,2.0,3.0,0.008778698929051176,1.15e-13,0.0,4.3495883620084003e-13
350.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
350.0,2.5,0.5,0.009240015245765698,2.3e-13,1.15e-13,7.637626158259732e-13
350.0,2.5,1.0,0.015057802622729287,2.3e-13,1.15e-13,6.416889479197479e-13
350.0,2.5,1.5,0.017453362130890767,2.3e-13,1.15e-13,5.640760748177662e-13
350.0,2.5,2.0,0.018222678955797482,1.15e-13,0.0,5.091750772173155e-13
350.0,2.5,2.5,0.01839789702268015,1.15e-13,0.0,4.677071733467426e-13
350.0,2.5,3.0,0.01857311508956282,1.15e-13,0.0,4.3495883620084003e-13
350.0,3.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
350.0,3.0,0.5,0.012662243114567808,2.3e-13,1.15e-13,7.637626158259732e-13
350.0,3.0,1.0,0.021902258360333507,2.3e-13,1.15e-13,6.416889479197479e-13
350.0,3.0,1.5,0.0277200457372971,2.3e-13,1.15e-13,5.640760748177662e-13
350.0,3.0,2.0,0.030115605245458574,2.3e-13,1.15e-13,5.091750772173155e-13
